STT,key,id,day,start,count,room,teacher,class,member,name,weight,week
1064,CT408,01,0,0,0,,,CT408001,140,Chuyên đề Kỹ thuật máy tính,2,12**5678901234567***
1065,CT409,01,4,3,3,308/CN,,CT409001,70,Lập trình nhúng,3,12**5678901234567***
1066,CT415,01,0,0,0,,,CT415001,100,Thực tập thực tế,2,12**5678901234567***
1067,CT417,01,0,0,0,,,CT417001,100,Luận văn tốt nghiệp - KTĐK,10,12**5678901234567***
1068,CT419,01,6,6,3,202/D2,,CT419001,60,Thông tin sợi quang,3,12**5678901234567***
1069,CT421,01,0,0,0,,,CT421001,100,Tiểu luận tốt nghiệp - DTVT,4,12**5678901234567***
1070,CT422,01,0,0,0,,,CT422001,100,Luận văn tốt nghiệp - ĐTVT,10,12**5678901234567***
1071,CT426,01,0,0,0,,,CT426001,100,Tiểu luận tốt nghiệp - KTMT,4,12**5678901234567***
1072,CT427,01,0,0,0,,,CT427001,100,Luận văn tốt nghiệp - KTMT,10,12**5678901234567***
1073,CT428,01,2,6,3,203/TS,,CT42801,40,Lập trình Web,3,12**5678901234567***
1074,CT428,02,5,6,3,209/C2,,CT42802,40,Lập trình Web,3,12**5678901234567***
1075,CT428,03,4,1,3,302/DB,,CT42803,40,Lập trình Web,3,12**5678901234567***
1076,CT428,04,2,1,3,203/NN,,CT42804,40,Lập trình Web,3,12**5678901234567***
1077,CT428,05,3,1,3,301/XH,,CT42805,40,Lập trình Web,3,12**5678901234567***
1078,CT428,06,4,6,3,HTR/DB,,CT42806,80,Lập trình Web,3,12**5678901234567***
1079,CT428,07,2,6,3,101/XH,,CT42807,80,Lập trình Web,3,12**5678901234567***
1080,CT428,08,2,3,3,405/TS,,CT42808,80,Lập trình Web,3,12**5678901234567***
1081,CT428,09,3,3,3,202/XH,,CT42809,80,Lập trình Web,3,12**5678901234567***
1082,CT430,01,2,1,3,201/TS,,CT43001,40,Phân tích hệ thống hướng đối tượng,3,12**5678901234567***
1083,CT439,01,0,0,0,,,CT43901,19,Niên luận Mạng máy tính và truyền thông,3,12**5678901234567***
1084,CT439,02,0,0,0,,,CT43902,19,Niên luận Mạng máy tính và truyền thông,3,12**5678901234567***
1085,CT439,03,0,0,0,,,CT43903,19,Niên luận Mạng máy tính và truyền thông,3,12**5678901234567***
1086,CT439,04,0,0,0,,,CT43904,19,Niên luận Mạng máy tính và truyền thông,3,12**5678901234567***
1087,CT441,01,0,0,0,,,CT441001,140,Đồ Án kỹ thuật điện tử,2,12**5678901234567***
1088,CT441,02,0,0,0,,,CT441002,140,Đồ Án kỹ thuật điện tử,2,12**5678901234567***
1089,CT450,H01,0,0,0,,,17V7A5,20,Thực tập thực tế - CNTT,2,12**5678901234567***
1090,CT462,01,0,0,0,,,CT46201,3,Tiểu luận tốt nghiệp - TT&MMT,4,12**5678901234567***
1091,CT464,01,0,0,0,,,CT46401,5,Tiểu luận tốt nghiệp - KTPM,4,12**5678901234567***
1092,CT465,01,0,0,0,,,CT46501,5,Tiểu luận tốt nghiệp - KHMT,4,12**5678901234567***
1093,CT466,01,0,0,0,,,CT46601,30,Niên luận - CNTT,3,12**5678901234567***
1094,CT466,02,0,0,0,,,CT46602,30,Niên luận - CNTT,3,12**5678901234567***
1095,CT466,03,0,0,0,,,CT46603,30,Niên luận - CNTT,3,12**5678901234567***
1096,CT466,04,0,0,0,,,CT46604,30,Niên luận - CNTT,3,12**5678901234567***
1097,CT466,05,0,0,0,,,CT46605,30,Niên luận - CNTT,3,12**5678901234567***
1098,CT466,06,0,0,0,,,CT46606,30,Niên luận - CNTT,3,12**5678901234567***
1099,CT466,07,0,0,0,,,CT46607,30,Niên luận - CNTT,3,12**5678901234567***
1100,CT466,H01,0,0,0,,,17V7A5,20,Niên luận - CNTT,3,12**5678901234567***
1101,CT466,H02,0,0,0,,,17V1A7,20,Niên luận - CNTT,3,********************
1102,CT466,H03,0,0,0,,,17V7A6,20,Niên luận - CNTT,3,********************
1103,CT468,01,0,0,0,,,CT46801,5,Tiểu luận tốt nghiệp - CNTT,4,12**5678901234567***
1104,CT501H,M01,0,0,0,,,CT501H01,5,Niên luận chuyên ngành,3,12**5678901234567***
1105,CT591,01,0,0,0,,,CT59101,12,Luận văn tốt nghiệp - HTTT,10,12**5678901234567***
1106,CT592,01,0,0,0,,,CT59201,7,Luận văn tốt nghiệp - TT&MMT,10,12**5678901234567***
1107,CT593,01,0,0,0,,,CT59301,100,Luận văn tốt nghiệp - CNTT,10,12**5678901234567***
1108,CT593,H01,0,0,0,,,17V7A5,20,Luận văn tốt nghiệp - CNTT,10,12**5678901234567***
1109,CT594,01,0,0,0,,,CT59401,50,Luận văn tốt nghiệp - KTPM,10,12**5678901234567***
1110,CT595,01,0,0,0,,,CT59501,25,Luận văn tốt nghiệp - KHMT,10,12**5678901234567***
1111,FL001,M01,6,1,2,107/SP,,FL20V1F1,44,Pháp văn căn bản 1 (*),4,12**5678901234567***
1112,FL001,M01,4,1,2,107/SP,,FL20V1F1,44,Pháp văn căn bản 1 (*),4,12**5678901234567***
1113,FL001,M02,2,4,2,CLC3FL,,FL20V1F2,43,Pháp văn căn bản 1 (*),4,12**5678901234567***
1114,FL001,M02,5,6,2,107/SP,,FL20V1F2,43,Pháp văn căn bản 1 (*),4,12**5678901234567***
1115,FL001,M03,4,4,2,CLC4FL,,FL20V1F3,41,Pháp văn căn bản 1 (*),4,12**5678901234567***
1116,FL001,M03,3,6,2,107/SP,,FL20V1F3,41,Pháp văn căn bản 1 (*),4,12**5678901234567***
1117,FL001,M04,6,4,2,CLC2FL,,FL20V1F4,41,Pháp văn căn bản 1 (*),4,12**5678901234567***
1118,FL001,M04,4,4,2,CLC6FL,,FL20V1F4,41,Pháp văn căn bản 1 (*),4,12**5678901234567***
1119,FL001,M05,5,4,2,CLC5FL,,FL20V1F5,41,Pháp văn căn bản 1 (*),4,12**5678901234567***
1120,FL001,M05,2,6,2,107/SP,,FL20V1F5,41,Pháp văn căn bản 1 (*),4,12**5678901234567***
1121,FL001,M06,3,8,2,107/SP,,FL001M06,40,Pháp văn căn bản 1 (*),4,12**5678901234567***
1122,FL001,M06,2,1,2,CLC9FL,,FL001M06,40,Pháp văn căn bản 1 (*),4,12**5678901234567***
